Basis,Calc_Type,Conformer_Description,Conformer_ID,Full_Name,Method,N_atoms,Name,Status,cff,dipolex,dipoley,dipolez,file_location,file_location_pathtype,molden,out,polar_pkl,qff
cc-pVQZ,no polar ders,optimized,conf1,formaldehyde,PBE0,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/PBE0cc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,formaldehyde,LC-BLYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/LC_BLYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,formaldehyde,B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVTZ,full,optimized,conf1,formaldehyde,B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/B3LYPcc_pVTZ/g16_inputFull_3q.out,absolute,,,,
aug-cc-pVTZ,full,optimized,conf1,formaldehyde,B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/B3LYPaug_cc_pVTZ/g16_inputFull_3q.out,absolute,,,,
cc-pVDZ,full,optimized,conf1,formaldehyde,B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/B3LYPcc_pVDZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,formaldehyde,CAM-B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/CAM_B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVTZ,full,optimized,conf1,formaldehyde,CAM-B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/CAM_B3LYPcc_pVTZ/g16_inputFull_3q.out,absolute,,,,
aug-cc-pVTZ,full,optimized,conf1,formaldehyde,CAM-B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/CAM_B3LYPaug_cc_pVTZ/g16_inputFull_3q.out,absolute,,,,
cc-pVDZ,full,optimized,conf1,formaldehyde,CAM-B3LYP,4,FORM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM/CAM_B3LYPcc_pVDZ/g16_inputFull_3q.out,absolute,,,,
